,CAMPO,DESCRIP
1,POB1,Poblacion total
2,POB2,Poblacion de 0 a 2 anos
3,POB3,Poblacion de 0 a 4 anos
4,POB4,Poblacion de 3 a 5 anos
5,POB5,Poblacion de 6 a 11 anos
6,POB6,Poblacion de 8 a 14 anos
7,POB7,Poblacion de 12 a 14 anos
8,POB8,Poblacion de 0 a 14 anos
9,POB9,Poblacion de 15 a 17 anos
10,POB10,Poblacion de 15 a 24 anos
11,POB11,Poblacion de 15 a 29 anos
12,POB12,Poblacion de 15 a 64 anos
13,POB13,Poblacion de 18 a 24 anos
14,POB14,Poblacion de 30 a 49 anos
15,POB15,Poblacion de 50 a 59 anos
16,POB16,Poblacion de 60 a 64 anos
17,POB17,Poblacion de 3 anos y mas
18,POB18,Poblacion de 5 anos y mas
19,POB19,Poblacion de 12 anos y mas
20,POB20,Poblacion de 15 anos y mas
21,POB21,Poblacion de 18 anos y mas
22,POB22,Poblacion de 25 anos y mas
23,POB23,Poblacion de 60 anos y mas
24,POB24,Poblacion de 65 anos y mas
25,POB25,Poblacion de 70 anos y mas
26,POB31,Poblacion femenina
27,POB32,Poblacion femenina de 0 a 2 anos
28,POB33,Poblacion femenina de 0 a 4 anos
29,POB34,Poblacion femenina de 3 a 5 anos
30,POB35,Poblacion femenina de 6 a 11 anos
31,POB36,Poblacion femenina de 8 a 14 anos
32,POB37,Poblacion femenina de 12 a 14 anos
33,POB38,Poblacion femenina de 0 a 14 anos
34,POB39,Poblacion femenina de 15 a 17 anos
35,POB40,Poblacion femenina de 15 a 24 anos
36,POB41,Poblacion femenina de 15 a 29 anos
37,POB42,Poblacion femenina de 15 a 49 anos
38,POB43,Poblacion femenina de 15 a 64 anos
39,POB44,Poblacion femenina de 18 a 24 anos
40,POB45,Poblacion femenina de 30 a 49 anos
41,POB46,Poblacion femenina de 50 a 59 anos
42,POB47,Poblacion femenina de 60 a 64 anos
43,POB48,Poblacion femenina de 3 anos y mas
44,POB49,Poblacion femenina de 5 anos y mas
45,POB50,Poblacion femenina de 12 anos y mas
46,POB51,Poblacion femenina de 15 anos y mas
47,POB52,Poblacion femenina de 18 anos y mas
48,POB53,Poblacion femenina de 25 anos y mas
49,POB54,Poblacion femenina de 60 anos y mas
50,POB55,Poblacion femenina de 65 anos y mas
51,POB56,Poblacion femenina de 70 anos y mas
52,POB57,Poblacion masculina
53,POB58,Poblacion masculina de 0 a 2 anos
54,POB59,Poblacion masculina de 0 a 4 anos
55,POB60,Poblacion masculina de 3 a 5 anos
56,POB61,Poblacion masculina de 6 a 11 anos
57,POB62,Poblacion masculina de 8 a 14 anos
58,POB63,Poblacion masculina de 12 a 14 anos
59,POB64,Poblacion masculina de 0 a 14 anos
60,POB65,Poblacion masculina de 15 a 17 anos
61,POB66,Poblacion masculina de 15 a 24 anos
62,POB67,Poblacion masculina de 15 a 29 anos
63,POB68,Poblacion masculina de 15 a 64 anos
64,POB69,Poblacion masculina de 18 a 24 anos
65,POB70,Poblacion masculina de 30 a 49 anos
66,POB71,Poblacion masculina de 50 a 59 anos
67,POB72,Poblacion masculina de 60 a 64 anos
68,POB73,Poblacion masculina de 3 anos y mas
69,POB74,Poblacion masculina de 5 anos y mas
70,POB75,Poblacion masculina de 12 anos y mas
71,POB76,Poblacion masculina de 15 anos y mas
72,POB77,Poblacion masculina de 18 anos y mas
73,POB78,Poblacion masculina de 25 anos y mas
74,POB79,Poblacion masculina de 60 anos y mas
75,POB80,Poblacion masculina de 65 anos y mas
76,POB81,Poblacion masculina de 70 anos y mas
77,MIG1,Poblacion nacida en la entidad
78,MIG2,Poblacion femenina nacida en la entidad
79,MIG3,Poblacion masculina nacida en la entidad
80,MIG4,Poblacion nacida en otra entidad
81,MIG5,Poblacion femenina nacida en otra entidad
82,MIG6,Poblacion masculina nacida en otra entidad
83,MIG7,Poblacion nacida en otro pais
84,MIG8,Poblacion de 5 anos y mas residente en la entidad en junio de 2005
85,MIG9,Poblacion femenina de 5 anos y mas residente en la entidad en junio de 2005
86,MIG10,Poblacion masculina de 5 anos y mas residente en la entidad en junio de 2005
87,MIG11,Poblacion de 5 anos y mas residente en otra entidad en junio de 2005
88,MIG12,Poblacion femenina de 5 anos y mas residente en otra entidad en junio de 2005
89,MIG13,Poblacion masculina de 5 anos y mas residente en otra entidad en junio de 2005
90,MIG14,Poblacion de 5 anos y mas residente en otro pais en junio de 2005
91,MIG15,Poblacion de 5 anos y mas residente en Estados Unidos de America en junio de 2005
92,INDI1,Poblacion de 3 anos y mas que habla alguna lengua indigena
93,INDI2,Poblacion femenina de 3 anos y mas que habla alguna lengua indigena
94,INDI3,Poblacion masculina de 3 anos y mas que habla alguna lengua indigena
95,INDI4,Poblacion de 3 anos y mas que habla alguna lengua indigena y no habla espanol
96,INDI5,Poblacion femenina de 3 anos y mas que habla alguna lengua indigena y no habla espanol
97,INDI6,Poblacion masculina de 3 anos y mas que habla alguna lengua indigena y no habla espanol
98,INDI7,Poblacion de 3 anos y mas que habla alguna lengua indigena y habla espanol
99,INDI8,Poblacion femenina de 3 anos y mas que habla alguna lengua indigena y habla espanol
100,INDI9,Poblacion masculina de 3 anos y mas que habla alguna lengua indigena y habla espanol
101,INDI10,Poblacion de 5 anos y mas que habla alguna lengua indigena
102,INDI11,Poblacion femenina de 5 anos y mas que habla alguna lengua indigena
103,INDI12,Poblacion masculina de 5 anos y mas que habla alguna lengua indigena
104,INDI13,Poblacion de 5 anos y mas que habla alguna lengua indigena y no habla espanol
105,INDI14,Poblacion femenina de 5 anos y mas que habla alguna lengua indigena y no habla espanol
106,INDI15,Poblacion masculina de 5 anos y mas que habla alguna lengua indigena y no habla espanol
107,INDI16,Poblacion de 5 anos y mas que habla alguna lengua indigena y habla espanol
108,INDI17,Poblacion femenina de 5 anos y mas que habla alguna lengua indigena y habla espanol
109,INDI18,Poblacion masculina de 5 anos y mas que habla alguna lengua indigena y habla espanol
110,INDI19,Hogares censales indigenas
111,INDI20,Poblacion en hogares censales indigenas
112,DISC1,Poblacion con discapacidad.
113,DISC2,Poblacion femenina con discapacidad.
114,DISC3,Poblacion masculina con discapacidad.
115,DISC4,Poblacion de 0 a 14 anos con discapacidad.
116,DISC5,Poblacion de 15 a 59 anos con discapacidad
117,DISC6,Poblacion de 60 anos y mas con discapacidad.
118,DISC7,"Poblacion con limitacion para caminar o moverse, subir o bajar."
119,DISC8,"Poblacion con limitacion para ver, aun usando lentes"
120,DISC9,"Poblacion con limitacion para hablar, comunicarse o conversar."
121,DISC10,Poblacion con limitacion para escuchar
122,DISC11,"Poblacion con limitacion para vestirse, banarse o comer."
123,DISC12,Poblacion con limitacion para poner atencion o aprender cosas sencillas.
124,DISC13,Poblacion con limitacion mental.
125,DISC14,Poblacion con limitacion en la actividad derechohabiente a servicios de salud
126,EDU1,Poblacion de 3 a 5 anos que asiste a la escuela
127,EDU2,Poblacion femenina de 3 a 5 anos que asiste a la escuela
128,EDU3,Poblacion masculina de 3 a 5 anos que asiste a la escuela
129,EDU4,Poblacion de 3 a 5 anos que no asiste a la escuela
130,EDU5,Poblacion femenina de 3 a 5 anos que no asiste a la escuela
131,EDU6,Poblacion masculina de 3 a 5 anos que no asiste a la escuela
132,EDU7,Poblacion de 6 a 11 anos que asiste a la escuela
133,EDU8,Poblacion femenina de 6 a 11 anos que asiste a la escuela
134,EDU9,Poblacion masculina de 6 a 11 anos que asiste a la escuela
135,EDU10,Poblacion de 6 a 11 anos que no asiste a la escuela
136,EDU11,Poblacion femenina de 6 a 11 anos que no asiste a la escuela
137,EDU12,Poblacion masculina de 6 a 11 anos que no asiste a la escuela
138,EDU13,Poblacion de 12 a 14 anos que asiste a la escuela
139,EDU14,Poblacion femenina de 12 a 14 anos que asiste a la escuela
140,EDU15,Poblacion masculina de 12 a 14 anos que asiste a la escuela
141,EDU16,Poblacion de 12 a 14 anos que no asiste a la escuela
142,EDU17,Poblacion femenina de 12 a 14 anos que no asiste a la escuela
143,EDU18,Poblacion masculina de 12 a 14 anos que no asiste a la escuela
144,EDU19,Poblacion de 8 a 14 anos que sabe leer y escribir
145,EDU20,Poblacion femenina de 8 a 14 anos que sabe leer y escribir
146,EDU21,Poblacion masculina de 8 a 14 anos que sabe leer y escribir
147,EDU22,Poblacion de 8 a 14 anos que no sabe leer y escribir
148,EDU23,Poblacion femenina de 8 a 14 anos que no sabe leer y escribir
149,EDU24,Poblacion masculina de 8 a 14 anos que no sabe leer y escribir
150,EDU25,Poblacion de 15 anos y mas alfabeta
151,EDU26,Poblacion femenina  de 15 anos y mas alfabeta
152,EDU27,Poblacion masculina de 15 anos y mas alfabeta
153,EDU28,Poblacion de 15 anos y mas analfabeta
154,EDU29,Poblacion femenina de 15 anos y mas analfabeta
155,EDU30,Poblacion masculina de 15 anos y mas analfabeta
156,EDU31,Poblacion de 15 anos y mas sin escolaridad
157,EDU32,Poblacion femenina de 15 anos y mas sin escolaridad
158,EDU33,Poblacion masculina de 15 anos y mas sin escolaridad
159,EDU34,Poblacion de 15 anos y mas con educacion basica incompleta
160,EDU35,Poblacion femenina de 15 anos y mas con educacion basica incompleta.
161,EDU36,Poblacion masculina de 15 anos y mas con educacion basica incompleta.
162,EDU37,Poblacion de 15 anos y mas con educacion basica completa.
163,EDU38,Poblacion femenina de 15 anos y mas con educacion basica completa.
164,EDU39,Poblacion masculina de 15 anos y mas con educacion basica completa.
165,EDU40,Poblacion de 15 anos y mas con educacion pos-basica.
166,EDU41,Poblacion femenina de 15 anos y mas con educacion pos-basica.
167,EDU42,Poblacion masculina de 15 anos y mas con educacion pos-basica.
168,EDU43,Poblacion de 18 anos y mas con al menos un grado aprobado en educacion media superior
169,EDU44,Poblacion femenina de 18 anos y mas con al menos un grado aprobado en educacion media superior
170,EDU45,Poblacion masculina de 18 anos y mas con al menos un grado aprobado en educacion media superior
171,EDU46,Poblacion de 25 anos y mas con al menos un grado aprobado en educacion superior
172,EDU47,Poblacion femenina de 25 anos y mas con al menos un grado aprobado en educacion superior
173,EDU48,Poblacion masculina de 25 anos y mas con al menos un grado aprobado en educacion superior
174,ECO1,Poblacion economicamente activa
175,ECO2,Poblacion femenina economicamente activa
176,ECO3,Poblacion masculina economicamente activa
177,ECO4,Poblacion ocupada
178,ECO5,Poblacion femenina ocupada
179,ECO6,Poblacion masculina ocupada
180,ECO7,Poblacion ocupada de 12 anos y mas sin escolaridad
181,ECO8,Poblacion femenina ocupada de 12 anos y mas sin escolaridad
182,ECO9,Poblacion masculina ocupada de 12 anos y mas sin escolaridad
183,ECO10,Poblacion ocupada de 12 anos y mas con al menos un grado aprobado en primaria
184,ECO11,Poblacion femenina ocupada de 12 anos y mas con al menos un grado aprobado en primaria
185,ECO12,Poblacion masculina ocupada de 12 anos y mas con al menos un grado aprobado en primaria
186,ECO13,Poblacion ocupada de 12 anos y mas con secundaria o equivalente incompleta
187,ECO14,Poblacion femenina ocupada de 12 anos y mas con secundaria o equivalente incompleta
188,ECO15,Poblacion masculina ocupada de 12 anos y mas con secundaria o equivalente incompleta
189,ECO16,Poblacion ocupada de 12 anos y mas con secundaria o equivalente completa
190,ECO17,Poblacion femenina ocupada de 12 anos y mas con secundaria o equivalente completa
191,ECO18,Poblacion masculina ocupada de 12 anos y mas con secundaria o equivalente completa
192,ECO19,Poblacion ocupada de 12 anos y mas con al menos un grado aprobado en educacion media superior
193,ECO20,Poblacion femenina ocupada de 12 anos y mas con al menos un grado aprobado en educacion media superior
194,ECO21,Poblacion masculina ocupada de 12 anos y mas con al menos un grado aprobado en educacion media superior
195,ECO22,Poblacion ocupada de 12 anos y mas con al menos un grado aprobado en educacion superior o posgrado
196,ECO23,Poblacion femenina ocupada de 12 anos y mas con al menos un grado aprobado en educacion superior o posgrado
197,ECO24,Poblacion masculina ocupada de 12 anos y mas con al menos un grado aprobado en educacion superior o posgrado
198,ECO25,Poblacion desocupada
199,ECO26,Poblacion femenina desocupada
200,ECO27,Poblacion masculina desocupada
201,ECO28,Poblacion no economicamente activa
202,ECO29,Poblacion femenina no economicamente activa
203,ECO30,Poblacion masculina no economicamente activa
204,ECO31,Poblacion de 12 anos y mas no economicamente activa pensionada (o) o jubilada (o)
205,ECO32,Poblacion femenina de 12 anos y mas no economicamente activa pensionada o jubilada
206,ECO33,Poblacion masculina de 12 anos y mas no economicamente activa pensionado o jubilado
207,ECO34,Poblacion de 12 anos y mas no economicamente activa que se dedica a estudiar
208,ECO35,Poblacion femenina de 12 anos y mas no economicamente activa que se dedica a estudiar
209,ECO36,Poblacion masculina de 12 anos y mas no economicamente activa que se dedica a estudiar
210,ECO37,Poblacion de 12 anos y mas no economicamente activa que se dedica a los quehaceres del hogar
211,ECO38,Poblacion femenina de 12 anos y mas no economicamente activa que se dedica a los quehaceres del hogar
212,ECO39,Poblacion masculina de 12 anos y mas no economicamente activa que se dedica a los quehaceres del hogar
213,ECO40,Poblacion de 12 anos y mas no economicamente activa que tiene alguna limitacion fisica o mental permanente que le impide trabajar
214,ECO41,Poblacion femenina de 12 anos y mas no economicamente activa que tiene alguna limitacion fisica o mental permanente que le impide trabajar
215,ECO42,Poblacion masculina de 12 anos y mas no economicamente activa que tiene alguna limitacion fisica o mental permanente que le impide trabajar
216,ECO43,Poblacion de 12 anos y mas no economicamente activa que tiene otra razon que le impide trabajar
217,ECO44,Poblacion femenina de 12 anos y mas no economicamente activa que tiene otra razon que le impide trabajar
218,ECO45,Poblacion masculina de 12 anos y mas no economicamente activa que tiene otra razon que le impide trabajar
219,SALUD1,Poblacion derechohabiente a servicios de salud
220,SALUD2,Poblacion sin derechohabiencia a servicios de salud
221,SALUD3,Poblacion derechohabiente del IMSS
222,SALUD4,Poblacion derechohabiente del ISSSTE o ISSSTE estatal
223,SALUD5,Poblacion derechohabiente del Seguro Popular o Seguro Medico para una Nueva Generacion
224,SALUD6,"Poblacion derechohabiente de Pemex, Sedena o Semar"
225,SCONY1,Poblacion soltera o nunca unida de 12 anos y mas
