"Name"|"Age"|"Class/Dept"|"Ticket"|"Fare"|"Group"|"Ship"|"Joined"|"Job"|"Boat"|"Body"
"ANDERSON, Mr James"|40|"Deck"|||||"Southampton"|"Able Seaman"|"3"|
"ARCHER, Mr Ernest Edward"|36|"Deck"|||||"Southampton"|"Able Seaman"|"16"|
"BAILEY, Mr Henry Joseph"|43|"Deck"|||||"Southampton"|"Master-at-arms"|"16"|
"BOXHALL, Mr Joseph Groves"|28|"Deck"|||||"Belfast"|"4th. Officer"|"2"|
"BRADLEY, Mr T."|29|"Deck"|||||"Southampton"|"Able Seaman"||
"BRICE, Mr Walter T"|42|"Deck"|||||"Southampton"|"Able Seaman"|"11"|
"BRIGHT, Mr Arthur John"|42|"Deck"|||||"Belfast"|"Quartermaster"|"D"|
"BULEY, Mr Edward John"|27|"Deck"|||||"Southampton"|"Able Seaman"|"10"|
"CLENCH, Mr Frederick"|34|"Deck"|||||"Southampton"|"Able Seaman"|"12"|
"CLENCH, Mr George"|31|"Deck"|||||"Southampton"|"Able Seaman"||
"COUCH, Mr Frank"|28|"Deck"|||||"Southampton"|"Able Seaman"||"253"
"DAVIS, Mr Stephen James"|39|"Deck"|||||"Southampton"|"Able Seaman"||
"EVANS, Mr Alfred Frank"|25|"Deck"|||||"Southampton"|"Lookout"|"15"|
"EVANS, Mr Frank Oliver"|27|"Deck"|||||"Southampton"|"Able Seaman"|"10"|
"FLEET, Mr Frederick"|24|"Deck"|||||"Belfast"|"Lookout"|"6"|
"FOLEY, Mr John"|44|"Deck"|||||"Belfast"|"Storekeeper"||
"FORWARD, Mr James"|27|"Deck"|||||"Southampton"|"Able Seaman"|"16"|
"HAINES, Mr Albert M."|31|"Deck"|||||"Belfast"|"Boatswain Mate"|"9"|
"HARDER, Mr William"|39|"Deck"|||||"Southampton"|"Window Cleaner"|"14"|
"HEMMING, Mr Samuel Emest"|43|"Deck"|||||"Belfast"|"Lamp Trimmer"|"4"|
"HICHENS, Mr Robert"|29|"Deck"|||||"Southampton"|"Quartermaster"|"6"|
"HOGG, Mr George Alfred"|29|"Deck"|||||"Belfast"|"Lookout"|"7"|
"HOLMAN, Mr Harry"|27|"Deck"|||||"Belfast"|"Able Seaman"||
"HOPKINS, Mr Robert John"|40|"Deck"|||||"Southampton"|"Able Seaman"|"13"|
"HORSWILL, Mr Albert Edward James"|33|"Deck"|||||"Southampton"|"Able Seaman"|"1"|
"HUMPHREYS, Mr Sidney James"|48|"Deck"|||||"Southampton"|"Quartermaster"|"11"|
"HUTCHINSON, Mr John Hall"|26|"Deck"|||||"Belfast"|"Carpenter / Joiner"||
"JEWELL, Mr Archie"|23|"Deck"|||||"Belfast"|"Lookout"|"7"|
"JONES, Mr Thomas William"|32|"Deck"|||||"Southampton"|"Able Seaman"|"8"|
"KING, Mr Thomas W."|43|"Deck"|||||"Southampton"|"Master-at-arms"||
"LEE, Mr Reginald Robinson"|41|"Deck"|||||"Southampton"|"Lookout"|"13"|
"LIGHTOLLER, Mr Charles Herbert"|38|"Deck"|||||"Belfast"|"2nd. Officer"|"B"|
"LOWE, Mr Harold Godfrey"|29|"Deck"|||||"Belfast"|"5th. Officer"|"14"|
"LUCAS, Mr William Arthur"|25|"Deck"|||||"Southampton"|"Able Seaman"|"D"|
"LYONS, Mr William Henry"|26|"Deck"|||||"Southampton"|"Able Seaman"|"4"|
"MATHERSON, Mr David"|30|"Deck"|||||"Southampton"|"Able Seaman"||"192"
"MATHIAS, Mr Montague Vincent"|28|"Deck"|||||"Southampton"|"Mess Steward"||
"MAXWELL, Mr John"|31|"Deck"|||||"Belfast"|"Carpenter / Joiner"||
"MCCARTHY, Mr William"|47|"Deck"|||||"Southampton"|"Able Seaman"|"4"|
"MCGOUGH, Mr George Francis"|36|"Deck"|||||"Southampton"|"Able Seaman"||
"MOODY, Mr James Paul"|24|"Deck"|||||"Belfast"|"6th. Officer"||
"MOORE, Mr George Alfred"|32|"Deck"|||||"Southampton"|"Able Seaman"|"3"|
"MURDOCH, Mr William McMaster"|39|"Deck"|||||"Belfast"|"1st. Officer"||
"NICHOLS, Mr Alfred"|42|"Deck"|||||"Belfast"|"Boatswain"||
"O'LOUGHLIN, Dr William Francis Norman"|62|"Deck"|||||"Belfast"|"Surgeon"||
"OLLIVER, Mr Alfred"|27|"Deck"|||||"Belfast"|"Quartermaster"|"5"|
"OSMAN, Mr Frank"|28|"Deck"|||||"Southampton"|"Able Seaman"|"2"|
"PASCOE, Mr Charles H."|43|"Deck"|||||"Southampton"|"Able Seaman"|"8"|
"PERKIS, Mr Walter John"|37|"Deck"|||||"Belfast"|"Quartermaster"|"4"|
"PETERS, Mr William Chapman"|26|"Deck"|||||"Southampton"|"Able Seaman"|"9"|
"PITMAN, Mr Herbert John"|34|"Deck"|||||"Belfast"|"3rd. Officer"|"5"|
"POINGDESTRE, Mr John Thomas"|33|"Deck"|||||"Southampton"|"Able Seaman"|"12"|
"ROWE, Mr George Thomas"|32|"Deck"|||||"Belfast"|"Quartermaster"|"C"|
"SAWYER, Mr Robert James"|30|"Deck"|||||"Southampton"|"Window Cleaner"||
"SCARROTT, Mr Joseph George"|33|"Deck"|||||"Southampton"|"Able Seaman"|"14"|
"SIMPSON, Dr John Edward"|37|"Deck"|||||"Southampton"|"Assistant Surgeon"||
"SMITH, Captain Edward John"|62|"Deck"|||||"Southampton"|"Master"||
"SMITH, Mr William"|26|"Deck"|||||"Southampton"|"Seaman"||
"SYMONS, Mr George Thomas Macdonald"|24|"Deck"|||||"Southampton"|"Lookout"|"1"|
"TAMLYN, Mr Frederick"|23|"Deck"|||||"Southampton"|"Mess Steward"||"123"
"TAYLOR, Mr C."|35|"Deck"|||||"Southampton"|"Able Seaman"||
"TERRELL, Mr Bertram"|20|"Deck"|||||"Southampton"|"Seaman"||
"VIGOTT, Mr Philip Francis"|32|"Deck"|||||"Southampton"|"Able Seaman"|"13"|
"WELLER, Mr William Clifford"|30|"Deck"|||||"Belfast"|"Able Seaman"|"7"|
"WILDE, Mr Henry Tingle"|39|"Deck"|||||"Southampton"|"Chief Officer"||
"WYNN, Mr Walter"|41|"Deck"|||||"Belfast"|"Quartermaster"|"9"|
