"Name"|"Age"|"Class/Dept"|"Ticket"|"Fare"|"Group"|"Ship"|"Joined"|"Job"|"Boat"|"Body"
"ABRAMS, Mr William"|33|"Engine"|||||"Southampton"|"Fireman / Stoker"||
"ADAMS, Mr R."|26|"Engine"|||||"Southampton"|"Fireman / Stoker"||
"ALLEN, Mr Henry"|32|"Engine"|||||"Southampton"|"Fireman / Stoker"||"145"
"ALLEN, Mr Ernest Frederick"|24|"Engine"|||||"Southampton"|"Trimmer"|"B"|
"ALLSOP, Mr Alfred Samuel"|34|"Engine"|||||"Belfast"|"Electrician"||
"AVERY, Mr James Albert"|22|"Engine"|||||"Southampton"|"Trimmer"|"15"|
"BAILEY, Mr George W."|46|"Engine"|||||"Southampton"|"Fireman / Stoker"||
"BAINES, Mr Richard"|24|"Engine"|||||"Southampton"|"Greaser"||
"BANNON, Mr John"|32|"Engine"|||||"Southampton"|"Greaser"||
"BARLOW, Mr Charles"|30|"Engine"|||||"Southampton"|"Fireman / Stoker"||
"BARNES, Mr Charles"|29|"Engine"|||||"Southampton"|"Fireman / Stoker"||
"BARNES, Mr J."|41|"Engine"|||||"Southampton"|"Fireman / Stoker"||
"BARRETT, Mr Frederick"|28|"Engine"|||||"Southampton"|"Leading Fireman"|"13"|
"BARRETT, Mr Frederick William"|33|"Engine"|||||"Southampton"|"Fireman / Stoker"||
"BEATTIE, Mr Joseph"|35|"Engine"|||||"Belfast"|"Greaser"||
"BEAUCHAMP, Mr George William"|24|"Engine"|||||"Southampton"|"Fireman / Stoker"|"13"|
"BELL, Mr Joseph"|50|"Engine"|||||"Belfast"|"Chief Engineer"||
"BENDELL, Mr Frank"|24|"Engine"|||||"Southampton"|"Fireman / Stoker"||
"BENNETT, Mr George Alfred"|30|"Engine"|||||"Southampton"|"Fireman / Stoker"||
"BENVILLE, Mr E."|42|"Engine"|||||"Southampton"|"Fireman / Stoker"||
"BESSANT, Mr William Edward"|39|"Engine"|||||"Southampton"|"Fireman / Stoker"||
"BEVIS, Mr Joseph Henry"|22|"Engine"|||||"Southampton"|"Trimmer"||
"BIDDLECOMBE, Mr Charles"|33|"Engine"|||||"Southampton"|"Fireman / Stoker"||
"BIGGS, Mr Edward Charles"|20|"Engine"|||||"Southampton"|"Fireman / Stoker"||
