"Name"|"Age"|"Class/Dept"|"Ticket"|"Fare"|"Group"|"Ship"|"Joined"|"Job"|"Boat"|"Body"||" "
"ALLEN, Miss Elisabeth Walton"|29|"1st Class"|24160|"£211 6s 9d"|||"Southampton"||"2"|||
"ALLISON, Mr Hudson Joshua Creighton"|30|"1st Class"|113781|"£151 16s "|||"Southampton"|"Businessman"||"135"||
"ALLISON, Mrs Bessie Waldo"|25|"1st Class"|113781|"£151 16s "|||"Southampton"|||||
"ALLISON, Miss Helen Loraine"|2|"1st Class"|113781|"£151 16s "|||"Southampton"|||||
"ALLISON, Master Hudson Trevor"|"11m"|"1st Class"|113781|"£151 16s "|||"Southampton"||"11"|||
"ANDERSON, Mr Harry"|47|"1st Class"|19952|"£26 11s "|||"Southampton"|"Stockbroker"|"3"|||
"ANDREWS, Miss Kornelia Theodosia"|62|"1st Class"|13502|"£77 19s 2d"|||"Cherbourg"||"10"|||
"ANDREWS, Mr Thomas"|39|"1st Class"|112050||"H&W Guarantee Group"||"Belfast"|"Shipbuilder"||||
"APPLETON, Mrs Charlotte"|53|"1st Class"|11769|"£51 9s 7d"|||"Southampton"||"D"|||
"ARTAGAVEYTIA, Mr Ramon"|71|"1st Class"|17609|"£49 10s 1d"|||"Cherbourg"|"Businessman"||"22"||
"ASTOR, Colonel John Jacob"|47|"1st Class"|17757|"£247 10s 6d"|||"Cherbourg"|"Property Developer / Real Estate"||"124"||
"ASTOR, Mrs Madeleine Talmage"|18|"1st Class"|17757|"£247 10s 6d"|||"Cherbourg"||"4"|||
"AUBART, Mme. Léontine Pauline"|24|"1st Class"|17477|"£69 6s "|||"Cherbourg"|"Singer"|"9"|||
"BARBER, Miss Ellen ""Nellie"""|26|"1st Class"|19877|"£78 17s "|"Servant"||"Southampton"|"Personal Maid"|"6"|||
"BARKWORTH, Mr Algernon Henry"|47|"1st Class"|27042|"£30 "|||"Southampton"|"Justice of the Peace"|"B"|||
"BAUMANN, Mr John D."|60|"1st Class"|17318|"£25 18s 6d"|||"Cherbourg"|"Businessman"||||
"BAXTER, Mrs Hélène"|50|"1st Class"|17558|"£247 10s 5d"|||"Cherbourg"||"6"|||
"BAXTER, Mr Quigg Edmond"|24|"1st Class"|17558|"£247 10s 5d"|||"Cherbourg"|||||
"BAZZANI, Mrs Albina"|36|"1st Class"|11813|"£76 5s 10d"|"Servant"||"Cherbourg"|"Personal Maid"|"8"|||
"BEATTIE, Mr Thomson"|36|"1st Class"|13050|"£75 4s 10d"|||"Southampton"|"Landowner"|"A"|"331"||
"BECKWITH, Mr Richard Leonard"|37|"1st Class"|11751|"£52 11s 1d"|||"Southampton"||"5"|||
"BECKWITH, Mrs Sallie"|46|"1st Class"|11751|"£52 11s 1d"|||"Southampton"||"5"|||
"BEHR, Mr Karl Howell"|26|"1st Class"|111369|"£30 "|||"Cherbourg"||"5"|||
"BESSETTE, Miss Nellie Mayo"|39|"1st Class"|17760|"£63 7s 2d"|"Servant"||"Cherbourg"|"Personal Maid"|"8"|||
"BIDOIS, Miss Rosalie"|46|"1st Class"|17757|"£247 10s 6d"|"Servant"||"Cherbourg"|"Personal Maid"|"4"|||
"BIRD, Miss Ellen"|31|"1st Class"|17483|"£221 15s 7d"|"Servant"||"Southampton"|"Personal Maid"|"8"|||
"BIRNBAUM, Mr Jakob"|24|"1st Class"|13905|"£26 "|||"Cherbourg"|||"148"||
"BISHOP, Mr Dickinson H."|25|"1st Class"|11967|"£91 1s 7d"|||"Cherbourg"||"7"|||
"BISHOP, Mrs Helen"|19|"1st Class"|11967|"£91 1s 7d"|||"Cherbourg"||"7"|||
"BJöRNSTRöM-STEFFANSSON, Mr Mauritz Håkan"|28|"1st Class"|110564|"£26 11s "|||"Southampton"|"Businessman"|"D"|||
"BLACKWELL, Mr Stephen Weart"|45|"1st Class"|113784|"£35 10s "|||"Southampton"|||||
"BLANK, Mr Henry"|39|"1st Class"|112277|"£31 "|||"Cherbourg"|"Jeweller"|"7"|||
"BONNELL, Miss Caroline"|30|"1st Class"|36928|"£164 17s 4d"|||"Southampton"||"8"|||
"BONNELL, Miss Elizabeth"|61|"1st Class"|113783|"£26 11s "|||"Southampton"||"8"|||
"BOREBANK, Mr John James"|42|"1st Class"|110489|"£26 11s "|||"Southampton"|"Property Developer / Real Estate"||||
"BOWEN, Miss Grace Scott"|45|"1st Class"|17608|"£262 7s 6d"|"Servant"||"Cherbourg"|"Governess"|"4"|||
"BOWERMAN, Miss Elsie Edith"|22|"1st Class"|113505|"£55 "|||"Southampton"||"6"|||
"BRADY, Mr John Bertram"|41|"1st Class"|113054|"£30 10s "|||"Southampton"|||||
"BRANDEIS, Mr Emil"|48|"1st Class"|17591|"£50 9s 11d"|||"Cherbourg"|||"208"||
"BRERETON, Mr George Andrew"|37|"1st Class"|111427|"£26 11s "|||"Southampton"||"9"|||
"BREWE, Dr Arthur Jackson"|45|"1st Class"|112379|"£39 12s "|||"Cherbourg"|||||
"BROWN, Mrs Caroline Lane"|59|"1st Class"|11769|"£51 9s 7d"|||"Southampton"||"D"|||
"BROWN, Mrs Margaret "|44|"1st Class"|17610|"£27 14s 5d"|||"Cherbourg"||"6"|||
"BUCKNELL, Mrs Emma Eliza"|59|"1st Class"|11813|"£76 5s 10d"|||"Cherbourg"||"8"|||
"BURNS, Miss Elizabeth Margaret"|41|"1st Class"|16966|"£134 10s "|"Servant"||"Cherbourg"|"Nursemaid"|"3"|||
"BUTT, Major Archibald Willingham"|46|"1st Class"|113050|"£26 11s "|||"Southampton"|"Military"||||
"CAIRNS, Mr Alexander Milne"|28|"1st Class"|113798|"£31 "|"Servant"||"Southampton"|"Servant"||||
"CALDERHEAD, Mr Edward Pennington"|42|"1st Class"|17476|"£26 5s 9d"|||"Southampton"||"5"|||
"CANDEE, Mrs Helen Churchill"|52|"1st Class"|17606|"£27 8s 11d"|||"Cherbourg"||"6"|||
"CARDEZA, Mrs Charlotte Wardle"|58|"1st Class"|17755|"£512 6s 7d"|||"Cherbourg"||"3"|||
"CARDEZA, Mr Thomas Drake Martinez"|36|"1st Class"|17755|"£512 6s 7d"|||"Cherbourg"|"Gentleman"|"3"|||
"CARLSSON, Mr Frans Olof"|33|"1st Class"|695|"£5 "|||"Southampton"|||||
"CARRAU, Mr Francisco Mauro Severiano"|27|"1st Class"|113059|"£47 2s "|||"Southampton"|||||
"CARRAú-ESTEVES, Mr José Pedro"|17|"1st Class"|113059|"£47 2s "|||"Southampton"|||||
"CARTER, Mr William Ernest"|36|"1st Class"|113760|"£120 "|||"Southampton"||"C"|||
"CARTER, Mrs Lucile"|36|"1st Class"|113760|"£120 "|||"Southampton"||"4"|||
"CARTER, Miss Lucile Polk"|13|"1st Class"|113760|"£120 "|||"Southampton"||"4"|||
"CARTER, Master William Thornton II"|11|"1st Class"|113760|"£120 "|||"Southampton"||"4"|||
"CASE, Mr Howard Brown"|49|"1st Class"|19924|"£26 "|||"Southampton"|||||
"CASSEBEER, Mrs Eleanor Genevieve"|36|"1st Class"|17770|"£27 14s 5d"|||"Cherbourg"||"5"|||
"CAVENDISH, Mr Tyrell William"|36|"1st Class"|19877|"£78 17s "|||"Southampton"|||"172"||
"CAVENDISH, Mrs Julia Florence"|25|"1st Class"|19877|"£78 17s "|||"Southampton"||"6"|||
"CHAFFEE, Mr Herbert Fuller"|46|"1st Class"|5734|"£61 3s 6d"|||"Southampton"|||||
"CHAFFEE, Mrs Carrie Constance"|47|"1st Class"|5734|"£61 3s 6d"|||"Southampton"||"4"|||
"CHAMBERS, Mr Norman Campbell"|27|"1st Class"|113806|"£53 2s "|||"Southampton"||"5"|||
"CHAMBERS, Mrs Bertha"|32|"1st Class"|113806|"£53 2s "|||"Southampton"||"5"|||
"CHAUDANSON, Miss Victorine"|36|"1st Class"|17608|"£262 7s 6d"|"Servant"||"Cherbourg"|"Personal Maid"|"4"|||
"CHERRY, Miss Gladys"|30|"1st Class"|110152|"£86 10s "|||"Southampton"|"Of Independent Means"|"8"|||
"CHEVRé, Mr Paul Romaine Marie Léonce"|45|"1st Class"|17594|"£29 14s "|||"Cherbourg"|"Sculptor"|"7"|||
"CHIBNALL, Mrs Edith Martha Bowerman"|48|"1st Class"|113505|"£55 "|||"Southampton"|"Of Independent Means"|"6"|||
"CHISHOLM, Mr Roderick Robert Crispin"|40|"1st Class"|112051||"H&W Guarantee Group"||"Belfast"|"Draughtsman"||||
"CLARK, Mr Walter Miller"|27|"1st Class"|13508|"£136 15s 7d"|||"Cherbourg"|||||
"CLARK, Mrs Virginia Estelle"|26|"1st Class"|13508|"£136 15s 7d"|||"Cherbourg"||"4"|||
"CLEAVER, Miss Alice Catherine"|22|"1st Class"|113781|"£151 16s "|"Servant"||"Southampton"|"Nursemaid"|"11"|||
"CLIFFORD, Mr George Quincy"|40|"1st Class"|110465|"£52 "|||"Southampton"|||||
"COLLEY, Mr Edward Pomeroy"|37|"1st Class"|5727|"£25 11s 9d"|||"Southampton"|||||
"COMPTON, Mrs Mary Eliza"|64|"1st Class"|17756|"£83 3s 2d"|||"Cherbourg"||"14"|||
"COMPTON, Miss Sara Rebecca"|39|"1st Class"|17756|"£83 3s 2d"|||"Cherbourg"||"14"|||
"COMPTON, Mr Alexander Taylor jr"|37|"1st Class"|17756|"£83 3s 2d"|||"Cherbourg"|||||
"CORNELL, Mrs Malvina Helen"|55|"1st Class"|11770|"£25 14s 10d"|||"Southampton"||"2"|||
"CRAFTON, Mr John Bertram"|59|"1st Class"|113791|"£26 11s "|||"Southampton"|"Businessman"||||
"CROSBY, Captain Edward Gifford"|70|"1st Class"|5735|"£71 "|||"Southampton"|||"269"||
"CROSBY, Mrs Catherine Elizabeth"|64|"1st Class"|5735|"£71 "|||"Southampton"||"7"|||
"CROSBY, Miss Harriette Rebecca"|39|"1st Class"|112901|"£26 11s "|||"Southampton"||"7"|||
"CUMINGS, Mr John Bradley"|39|"1st Class"|17599|"£71 5s 8d"|||"Cherbourg"|||||
"CUMINGS, Mrs Florence Briggs"|35|"1st Class"|17599|"£71 5s 8d"|||"Cherbourg"||"4"|||
"DALY, Mr Peter Dennis"|51|"1st Class"|113055|"£26 11s "|||"Southampton"|"Businessman"|"5"|||
"DANIEL, Mr Robert Williams"|27|"1st Class"|113804|"£30 10s "|||"Southampton"||"3"|||
"DANIELS, Miss Sarah"|33|"1st Class"|113781|"£151 16s "|"Servant"||"Southampton"|"Personal Maid"|"8"|||
"DAVIDSON, Mr Thornton"|31|"1st Class"|12750|"£52 "|||"Cherbourg"|||||
"DAVIDSON, Mrs Orian"|27|"1st Class"|12750|"£52 "|||"Cherbourg"||"3"|||
"DICK, Mr Albert Adrian"|31|"1st Class"|17474|"£57 "|||"Southampton"||"3"|||
"DICK, Mrs Vera"|17|"1st Class"|17474|"£57 "|||"Southampton"||"3"|||
"DODGE, Dr Washington"|52|"1st Class"|33638|"£81 17s 2d"|||"Southampton"|"Politician"|"13"|||
"DODGE, Mrs Ruth"|34|"1st Class"|33638|"£81 17s 2d"|||"Southampton"||"5"|||
"DODGE, Master Washington"|4|"1st Class"|33638|"£81 17s 2d"|||"Southampton"||"5"|||
"DOUGLAS, Mr Walter Donald"|50|"1st Class"|17761|"£106 8s 6d"|||"Cherbourg"|||"62"||
"DOUGLAS, Mrs Mahala"|48|"1st Class"|17761|"£106 8s 6d"|||"Cherbourg"||"2"|||
"DOUGLAS, Mrs Mary Hélène"|27|"1st Class"|17558|"£247 10s 5d"|||"Cherbourg"||"6"|||
"DUFF GORDON, Sir Cosmo Edmund"|49|"1st Class"|11755|"£39 12s "|||"Cherbourg"|"Landowner"|"1"|||
"DUFF GORDON, Lucy Christiana, Lady"|48|"1st Class"|17485|"£56 18s 7d"|||"Cherbourg"|"Dressmaker / Couturière"|"1"|||
"DULLES, Mr William Crothers"|39|"1st Class"|17580|"£29 14s "|||"Cherbourg"|||"133"||
"EARNSHAW, Mrs Olive"|23|"1st Class"|11767|"£83 3s 2d"|||"Cherbourg"|"Of Independent Means"|"7"|||
"ENDRES, Miss Caroline Louise"|39|"1st Class"|17757|"£247 10s 6d"|"Servant"||"Cherbourg"|"Nurse"|"4"|||
"EUSTIS, Miss Elizabeth Mussey"|54|"1st Class"|36947|"£78 5s 4d"|||"Cherbourg"||"4"|||
"EVANS, Miss Edith Corse"|36|"1st Class"|17531|"£31 13s 7d"|||"Cherbourg"|||||
