"Name"|"Age"|"Class/Dept"|"Ticket"|"Fare"|"Group"|"Ship"|"Joined"|"Job"|"Boat"|"Body"||" "
"ALLARIA, Sig. Battista Antonio"|22|"A la Carte"|||||"Southampton"|"Assistant Waiter"||"221"||
"ASPESLAGH, Mr Georges"|26|"A la Carte"|||||"Southampton"|"Assistant Plateman"||||
"BANFI, Sig. Ugo"|24|"A la Carte"|||||"Southampton"|"Waiter"||||
"BASILICO, Sig. Giovanni"|27|"A la Carte"|||||"Southampton"|"Waiter"||||
"BAZZI, Sig. Narciso"|33|"A la Carte"|||||"Southampton"|"Waiter"||||
"BERNARDI, Sig. Battista"|22|"A la Carte"|||||"Southampton"|"Assistant Waiter"||"215"||
"BEUX, Mr David"|26|"A la Carte"|||||"Southampton"|"Assistant Waiter"||||
"BIETRIX, Mr George Baptiste"|28|"A la Carte"|||||"Southampton"|"Cook"||||
"BLUMET, Mr Jean Baptiste"|26|"A la Carte"|||||"Southampton"|"Pantryman"||||
"BOCHET, Mr Pierre Giuseppe"||"A la Carte"|||||"Southampton"|"Waiter"||||
"BOLHUIS, Mr Hendrik"|21|"A la Carte"|||||"Southampton"|"Larder Cook"||||
"BOWKER, Miss Ruth"|27|"A la Carte"|||||"Southampton"|"Cashier"||||
"CASALI, Sig. Giulio"|32|"A la Carte"|||||"Southampton"|"Waiter"||||
"CHABOISSON, Mr Adrien Finnin"|25|"A la Carte"|||||"Southampton"|"Roast Cook"||||
"CORNAIRE, Mr Marcel Raymond André"|19|"A la Carte"|||||"Southampton"|"Assistant Roast Cook"||||
"COUTIN, Mr Auguste Louis"|28|"A la Carte"|||||"Southampton"|"Entreé Cook"||||
"CROVELLA, Sig. Luigi/Louis"|17|"A la Carte"|||||"Southampton"|"Assistant Waiter"||||
"DE MARSICO, Sig. Govanni"|20|"A la Carte"|||||"Southampton"|"Assistant Waiter"||||
"DEBREUCQ, Mr Maurice Emile Victor"|18|"A la Carte"|||||"Southampton"|"Assistant Waiter"||"244"||
"DESVERNINE, Mr Louis Gabriel"|20|"A la Carte"|||||"Southampton"|"Assistant Pastry Cook"||||
"DONATI, Sig. Italo Francesco"|17|"A la Carte"|||||"Southampton"|"Assistant Waiter"||"311"||
"DORNIER, Mr Louis Auguste"|20|"A la Carte"|||||"Southampton"|"Assistant Fish Cook"||||
"FEY, Sig. Carlo"|30|"A la Carte"|||||"Southampton"|"Scullion"||||
