"Name"|"Age"|"Class/Dept"|"Ticket"|"Fare"|"Group"|"Ship"|"Joined"|"Job"|"Boat"|"Body"||" "
"ABBOTT, Mr Ernest Owen"|21|"Victualling"|||||"Southampton"|"Lounge Pantry Steward"||||
"AHIER, Mr Percy Snowden"|20|"Victualling"|||||"Southampton"|"Saloon Steward"||||
"AKERMAN, Mr Albert"|28|"Victualling"|||||"Southampton"|"Steward"||||
"AKERMAN, Mr Joseph Francis"|35|"Victualling"|||||"Southampton"|"Assistant Pantryman Steward"||"205"||
"ALLAN, Mr Robert Spencer"|36|"Victualling"|||||"Southampton"|"Bed Room Steward"||||
"ALLEN, Mr George"|26|"Victualling"|||||"Southampton"|"Scullion"||||
"ALLEN, Mr Frederick"|17|"Victualling"|||||"Southampton"|"Lift Steward"||||
"ALLSOP, Mr Frank Richard"|41|"Victualling"|||||"Belfast"|"Saloon Steward"||||
"ANDERSON, Mr Walter J."|48|"Victualling"|||||"Southampton"|"Bed Room Steward"||"146"||
"ANDREWS, Mr Charles Edward"|19|"Victualling"|||||"Southampton"|"Assistant Saloon Steward"|"16"|||
"ASHCROFT, Mr Austin Aloysius"|26|"Victualling"|||||"Southampton"|"Clerk"||||
"ASHE, Mr Henry Wellesley"|32|"Victualling"|||||"Southampton"|"Glory Hole Steward"||"34"||
"AYLING, Mr George Edwin"|22|"Victualling"|||||"Southampton"|"Assistant Vegetable Cook"||||
"BACK, Mr Charles Frederick"|32|"Victualling"|||||"Belfast"|"Assistant Lounge Steward"||||
"BAGGOTT, Mr Allen Marden"|28|"Victualling"|||||"Southampton"|"Saloon Steward"||||
"BAGLEY, Mr Edward Ernest"|31|"Victualling"|||||"Southampton"|"Saloon Steward"||||
"BAILEY, Mr George Francis"|36|"Victualling"|||||"Belfast"|"Saloon Steward"||"161"||
"BALL, Mr Percy"|19|"Victualling"|||||"Southampton"|"Plate Steward"||||
"BARKER, Mr Albert Vale"|19|"Victualling"|||||"Southampton"|"Baker"||||
"BARKER, Mr Ernest T."|37|"Victualling"|||||"Southampton"|"Saloon Steward"||"159"||
"BARKER, Mr Reginald Lomond"|40|"Victualling"|||||"Belfast"|"Purser"||||
"BARLOW, Mr George"|36|"Victualling"|||||"Southampton"|"Bed Room Steward"||||
"BARNES, Mr Frederick"|37|"Victualling"|||||"Southampton"|"Baker"||||
"BARRATT, Mr Arthur"|15|"Victualling"|||||"Southampton"|"Bell Boy"||||
"BARRINGER, Mr Arthur William"|33|"Victualling"|||||"Belfast"|"Saloon Steward"||||
"BARROW, Mr Harry"|35|"Victualling"|||||"Southampton"|"Butcher"||||
"BARROWS, Mr William"|32|"Victualling"|||||"Southampton"|"Saloon Steward"||||
"BARTON, Mr Sidney John"|25|"Victualling"|||||"Southampton"|"Steward"||||
"BAXTER, Mr Harry Ross"|51|"Victualling"|||||"Southampton"|"Steward"||||
"BAXTER, Mr Thomas Ferguson"|48|"Victualling"|||||"Southampton"|"Linen Steward"||"235"||
"BEDFORD, Mr William Barnet"|31|"Victualling"|||||"Southampton"|"Assistant Roast Cook"||||
"BEEDEM, Mr George Arthur"|34|"Victualling"|||||"Southampton"|"Bed Room Steward"||||
"BEERE, Mr William"|19|"Victualling"|||||"Southampton"|"Kitchen Porter"||||
"BENHAM, Mr Frederick"|29|"Victualling"|||||"Southampton"|"Saloon Steward"||||
"BENNETT, Mrs Mabel"|33|"Victualling"|||||"Southampton"|"Stewardess"||||
"BESSANT, Mr Edward William"|31|"Victualling"|||||"Southampton"|"Baggage Steward"||||
"BEST, Mr Alfred Edwin"|38|"Victualling"|||||"Belfast"|"Saloon Steward"||||
"BISHOP, Mr Walter Alexander"|34|"Victualling"|||||"Belfast"|"Bed Room Steward"||||
"BLISS, Mrs Emma"|45|"Victualling"|||||"Southampton"|"Stewardess"||||
"BOCHATAY, Mr Alexis Joseph"|30|"Victualling"|||||"Southampton"|"Chef"||||
"BOGIE, Mr Norman Leslie"|29|"Victualling"|||||"Southampton"|"Bed Room Steward"||"274"||
"BOND, Mr William John"|40|"Victualling"|||||"Belfast"|"Bed Room Steward"||||
"BOOTHBY, Mr W."|36|"Victualling"|||||"Southampton"|"Bed Room Steward"||"107"||
"BOSTON, Mr William John"|30|"Victualling"|||||"Belfast"|"Deck Steward"||||
"BOUGHTON, Mr B."|24|"Victualling"|||||"Southampton"|"Saloon Steward"||||
"BOYD, Mr John"|35|"Victualling"|||||"Southampton"|"Saloon Steward"||||
"BOYES, Mr John Henry"|36|"Victualling"|||||"Belfast"|"Saloon Steward"||||
"BRADSHAW, Mr J. A."|43|"Victualling"|||||"Southampton"|"Plate Steward"||||
"BREWSTER, Mr George H."|48|"Victualling"|||||"Belfast"|"Bed Room Steward"||||
"BRIDE, Mr Harold Sydney"|22|"Victualling"|||||"Belfast"|"Assistant Telegraphist"|"B"|||
"BRISTOW, Mr Robert Charles"|31|"Victualling"|||||"Southampton"|"Steward"||"290"||
"BRISTOW, Mr Harry"|33|"Victualling"|||||"Southampton"|"Saloon Steward"||||
"BROOKMAN, Mr John"|27|"Victualling"|||||"Southampton"|"Steward"||||
"BROOM, Mr H."|33|"Victualling"|||||"Belfast"|"Bath Steward"||||
"BROOME, Mr Athol Frederick"|30|"Victualling"|||||"Southampton"|"Verandah Steward"||||
"BROWN, Mr Edward"|34|"Victualling"|||||"Belfast"|"Saloon Steward"||||
"BROWN, Mr Walter James"|28|"Victualling"|||||"Belfast"|"Saloon Steward"||||
"BUCKLEY, Mr H. E."|34|"Victualling"|||||"Southampton"|"Assistant Vegetable Cook"||||
"BULL, Mr W."|30|"Victualling"|||||"Southampton"|"Scullion"||||
"BULLEY, Mr Henry Ashburnham"|21|"Victualling"|||||"Southampton"|"Boots"||||
"BUNNELL, Mr Wilfred"|20|"Victualling"|||||"Belfast"|"Plate Steward"||||
"BURGESS, Mr Charles Reginald"|18|"Victualling"|||||"Southampton"|"Extra 3rd. Baker"||||
"BURKE, Mr Richard Edward"|30|"Victualling"|||||"Belfast"|"Lounge Steward"||||
"BURKE, Mr William"|31|"Victualling"|||||"Belfast"|"Saloon Steward"||||
"BURR, Mr Ewart Sydenham"|29|"Victualling"|||||"Southampton"|"Saloon Steward"||||
