ano, pib.cte.2005.us 
1919,268266123147.75
1920,274683043372.12
1921,281253456198.11
1922,287981033165.63
1923,294869533637.75
1924,301922806901.44
1925,309144794318.53
1926,316539531528.16
1927,324111150701.85
1928,331863882852.60
1929,339802060199.15
1930,347930118586.81
1931,356252599966.24
1932,364774154931.46
1933,373499545318.60
1934,382433646866.82
1935,391581451942.86
1936,400948072330.78
1937,410538742088.39
1938,420358820472.07
1939,430413794931.50
1940,440709284176.05
1941,451251041314.51
1942,462044957069.90
1943,473097063071.22
1944,484413535223.93
1945,496000697160.98
1946,507865023776.55
1947,520013144844.11
1948,532451848721.21
1949,545188086142.75
1950,558228974105.08
1951,571581799842.95
1952,585254024901.64
1953,599253289306.41
1954,613587415831.79
1955,628264414372.92
1956,643292486421.45
1957,658680029648.57
1958,674435642597.57
1959,690568129488.73
1960,707086505139.11
1961,724000000000.00
1962,734000000000.00
1963,763000000000.00
1964,802000000000.00
1965,824000000000.00
1966,841000000000.00
1967,860000000000.00
1968,895000000000.00
1969,913000000000.00
1970,937000000000.00
1971,956000000000.00
1972,991000000000.00
1973,1060000000000.00
1974,1050000000000.00
1975,1040000000000.00
1976,1070000000000.00
1977,1090000000000.00
1978,1130000000000.00
1979,1160000000000.00
1980,1140000000000.00
1981,1120000000000.00
1982,1140000000000.00
1983,1190000000000.00
1984,1220000000000.00
1985,1260000000000.00
1986,1310000000000.00
1987,1370000000000.00
1988,1440000000000.00
1989,1470000000000.00
1990,1480000000000.00
1991,1470000000000.00
1992,1480000000000.00
1993,1540000000000.00
1994,1610000000000.00
1995,1670000000000.00
1996,1730000000000.00
1997,1800000000000.00
1998,1870000000000.00
1999,1920000000000.00
2000,2010000000000.00
2001,2050000000000.00
2002,2100000000000.00
2003,2180000000000.00
2004,2250000000000.00
2005,2320000000000.00
2006,2390000000000.00
2007,2470000000000.00
2008,2450000000000.00
2009,2320000000000.00
2010,2360000000000.00
2011,2390000000000.00
2012,2390000000000.00
